delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
fedex,cosmetics,truck,express,north,rainy,64.0,6.03,7,3,yes,failed,2,388.09
fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,6,16,no,delivered,4,986.8
dhl,electronics,scooter,two day,west,stormy,217.9,14.08,9,16,no,delivered,4,1131.74
blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6,8,no,delivered,5,1293.05
ecom express,clothing,bike,standard,central,clear,251.7,34.9,8,24,no,delivered,4,1363.2
amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7,24,no,delivered,5,1091.51
shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6,16,no,delivered,4,578.59
dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9,7,yes,delayed,3,1632.7206
amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8,24,no,delivered,3,1574.01
fedex,furniture,truck,express,south,hot,136.1,48.1,3,4,no,delivered,5,874.8
dhl,furniture,bike,two day,east,rainy,291.4,6.12,13,16,no,delivered,5,1475.36
fedex,furniture,bike,standard,south,hot,295.0,19.68,9,24,no,delivered,5,1534.04
ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10,8,yes,failed,1,1235.37
delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10,6,yes,failed,1,1402.69
fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8,16,no,delivered,5,243.66
amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5,3,yes,delayed,2,595.53
delhivery,documents,bike,same day,east,clear,37.6,22.81,3,8,no,delivered,4,356.43
amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5,2,yes,delayed,2,298.16
amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,8,no,delivered,5,1321.0
ekart,documents,bike,standard,east,rainy,62.2,48.58,7,24,no,delivered,3,456.74
shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6,24,no,delivered,4,701.55
blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6,8,no,delivered,5,834.87
xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3,2,yes,delayed,3,206.74
xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,7,24,no,delivered,5,1317.61
dhl,furniture,van,two day,east,rainy,253.9,7.07,9,16,no,delivered,3,1290.71
delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,6,8,no,delivered,4,157.38
ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,5,24,no,delivered,4,970.6
fedex,cosmetics,truck,standard,south,hot,180.0,35.04,4,24,no,delivered,3,1005.12
ecom express,documents,scooter,two day,north,rainy,187.9,14.96,11,16,no,delivered,4,984.38
xpressbees,documents,ev van,express,west,hot,78.3,49.22,4,3,yes,failed,1,589.16
amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,2,3,no,delivered,4,378.35
xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,5,8,no,delivered,5,324.08
blue dart,clothing,truck,express,north,hot,216.7,26.89,7,6,yes,delayed,2,1214.17
dhl,electronics,van,standard,south,foggy,148.2,38.6,5,24,no,delivered,4,856.8
fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,5,8,no,delivered,4,1161.37
fedex,groceries,truck,same day,east,stormy,167.7,42.4,7,8,no,delivered,5,1065.7
delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,9,24,no,delivered,5,1066.02
fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,7,24,no,delivered,5,1200.32
blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,6,8,no,delivered,5,484.65
xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,3,16,no,delivered,4,1045.11
xpressbees,clothing,bike,two day,east,cold,83.5,6.81,3,16,no,delivered,5,437.93
ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,3,8,no,delivered,5,289.36
xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,12,24,no,delivered,3,1370.53
dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,8,6,yes,delayed,2,1315.6
ecom express,pharmacy,bike,express,east,hot,226.0,37.62,7,6,yes,delayed,2,1292.86
dhl,clothing,bike,two day,west,hot,113.3,34.03,4,16,no,delivered,5,668.59
ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,12,24,no,delivered,4,1287.23
ecom express,electronics,scooter,express,east,cold,87.7,22.38,4,3,yes,failed,2,555.64
dhl,furniture,van,same day,east,rainy,90.1,27.46,6,8,no,delivered,4,632.88
delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,6,4,yes,delayed,2,736.82
fedex,documents,bike,same day,central,cold,217.3,3.03,6,8,no,delivered,5,1195.59
amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,6,24,no,delivered,3,460.75
blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,2,16,no,delivered,5,173.54
fedex,documents,ev van,express,north,rainy,78.5,27.87,8,3,yes,delayed,3,526.11
blue dart,documents,van,express,north,hot,138.3,47.87,8,4,yes,delayed,3,885.11
xpressbees,clothing,truck,two day,north,cold,96.4,39.33,3,16,no,delivered,4,599.99
fedex,furniture,ev van,standard,west,cold,216.2,23.93,11,24,no,delivered,4,1152.79
ekart,clothing,van,express,south,stormy,24.1,34.1,7,2,yes,delayed,3,272.8
ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,13,24,no,delivered,4,1070.19
shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,2,8,no,delivered,4,604.06
xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,3,3,yes,delayed,2,398.73
ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,8,8,yes,delayed,3,470.66
dhl,documents,bike,same day,east,rainy,60.4,22.93,6,8,no,delivered,5,470.79
blue dart,clothing,truck,same day,central,stormy,258.4,22.08,9,8,yes,failed,2,1458.24
amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,4,16,no,delivered,4,551.44
shadowfax,electronics,van,two day,south,clear,244.0,13.62,7,16,no,delivered,4,1260.86
xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,8,24,no,delivered,4,498.31
delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,3,8,no,delivered,4,172.6
ekart,furniture,van,two day,south,cold,3.6,8.75,0,16,no,delivered,3,95.6674
xpressbees,documents,van,standard,east,rainy,111.0,36.68,9,24,no,delivered,4,665.04
amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,11,7,yes,delayed,3,1432.59
dhl,groceries,ev van,same day,east,foggy,177.9,20.16,7,8,no,delivered,5,1049.98
amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,9,16,no,delivered,4,1045.27
amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,4,24,no,delivered,5,743.23
dhl,fragile items,bike,two day,north,hot,83.3,34.71,4,16,no,delivered,4,520.63
ecom express,clothing,van,standard,west,foggy,193.2,33.28,7,24,no,delivered,4,1065.84
ekart,clothing,van,two day,east,foggy,174.3,47.29,10,16,no,delivered,5,1013.37
ekart,groceries,bike,same day,west,clear,11.4,40.22,1,8,no,delivered,5,277.66
xpressbees,electronics,ev van,express,east,clear,166.4,44.96,6,5,yes,delayed,2,1016.88
shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,11,24,no,delivered,5,1062.21
blue dart,groceries,truck,express,west,stormy,111.2,37.33,6,4,yes,delayed,2,717.99
amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,4,8,no,delivered,5,729.91
blue dart,furniture,scooter,standard,east,clear,236.4,47.28,9,24,no,delivered,4,1323.84
amazon logistics,electronics,van,same day,central,clear,111.9,26.34,5,8,no,delivered,5,738.52
delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,8,24,no,delivered,5,494.92
amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,5,24,no,delivered,5,1322.21
amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,6,8,no,delivered,4,1632.7206
amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,5,16,no,delivered,5,412.45
shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,6,16,no,delivered,5,657.46
fedex,furniture,scooter,same day,north,hot,3.6,31.41,2,8,no,delivered,4,203.23
xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,9,8,yes,failed,2,898.65
ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,3,8,no,delivered,4,560.07
amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,9,6,yes,failed,2,1305.19
shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,9,24,no,delivered,4,1376.46
fedex,electronics,scooter,standard,west,clear,35.7,10.8,3,24,no,delivered,3,210.9
fedex,documents,van,express,central,stormy,259.3,27.01,8,7,yes,failed,1,1427.53
shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,4,8,no,delivered,5,561.77
delhivery,cosmetics,van,express,south,clear,93.1,20.89,2,3,no,delivered,3,578.17
blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,9,24,no,delivered,5,1425.33
ekart,furniture,truck,two day,west,clear,110.2,23.24,4,16,no,delivered,4,620.72
blue dart,documents,bike,standard,west,clear,6.0,0.88,1,24,no,delivered,4,95.6674
dhl,furniture,truck,two day,east,foggy,16.5,21.49,2,16,no,delivered,4,146.97
xpressbees,documents,ev van,standard,north,cold,102.0,18.67,4,24,no,delivered,4,566.01
shadowfax,furniture,bike,express,north,rainy,265.4,15.96,13,7,yes,delayed,3,1424.88
fedex,groceries,ev van,two day,north,foggy,27.5,15.43,2,16,no,delivered,5,183.79
amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,2,16,no,delivered,3,320.87
shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,6,7,no,delivered,4,1588.78
delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,8,24,no,delivered,4,740.6
xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,9,16,no,delivered,4,1434.54
shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,8,16,no,delivered,5,618.71
shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,2,5,no,delivered,3,873.47
shadowfax,furniture,van,standard,north,foggy,284.1,14.35,9,24,no,delivered,4,1463.55
fedex,clothing,truck,same day,north,cold,287.0,8.21,10,8,yes,failed,1,1559.63
delhivery,electronics,van,two day,north,foggy,50.5,31.28,2,16,no,delivered,4,346.34
shadowfax,groceries,van,two day,west,foggy,203.3,7.5,7,16,no,delivered,4,1039.0
amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,2,8,no,delivered,3,799.09
ekart,groceries,scooter,two day,east,cold,45.8,27.22,1,16,no,delivered,5,310.66
shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,0,8,no,delivered,5,245.29
delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,6,24,no,delivered,4,909.11
dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,5,8,no,delivered,4,367.67
dhl,furniture,scooter,standard,north,clear,281.6,19.81,8,24,no,delivered,3,1467.43
ecom express,electronics,van,same day,east,stormy,75.7,41.47,8,8,yes,delayed,2,602.91
blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,3,24,no,delivered,4,705.04
ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,10,24,no,delivered,5,1193.0
dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,8,5,yes,delayed,2,845.38
ecom express,automobile parts,van,same day,west,cold,113.8,21.95,4,8,no,delivered,3,734.85
amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,7,24,no,delivered,5,1038.84
delhivery,electronics,truck,two day,north,rainy,60.1,40.63,5,16,no,delivered,3,422.39
ekart,documents,truck,same day,south,foggy,147.7,46.57,6,8,no,delivered,4,978.21
amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,6,16,no,delivered,4,1591.97
delhivery,pharmacy,van,express,north,cold,235.6,42.35,7,6,yes,delayed,3,1355.05
amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,4,8,no,delivered,4,634.78
ekart,groceries,truck,two day,central,cold,273.9,42.56,6,16,no,delivered,3,1497.18
ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,4,24,no,delivered,4,1401.08
ekart,groceries,van,two day,east,clear,82.2,18.81,2,16,no,delivered,3,467.43
dhl,clothing,truck,same day,south,cold,280.3,15.29,7,8,no,delivered,4,1547.37
shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,8,8,yes,delayed,2,938.86
blue dart,groceries,van,same day,west,clear,279.9,21.63,12,8,yes,failed,2,1564.39
shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,11,8,yes,delayed,2,1056.6
fedex,electronics,van,two day,central,cold,29.9,47.31,2,16,no,delivered,3,291.43
amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,1,24,no,delivered,4,346.65
ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,10,24,no,delivered,4,819.43
shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,4,24,no,delivered,4,174.48
dhl,documents,ev bike,two day,east,hot,230.8,30.01,6,16,no,delivered,4,1244.03
dhl,clothing,bike,express,west,clear,93.0,9.37,2,3,no,delivered,4,543.11
dhl,electronics,van,two day,west,clear,10.4,4.59,1,16,no,delivered,4,95.6674
amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,4,16,no,delivered,4,981.76
ekart,documents,scooter,express,west,rainy,182.1,2.26,11,5,yes,delayed,2,967.28
blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,3,24,no,delivered,4,316.67
dhl,groceries,bike,two day,north,cold,55.2,6.78,1,16,no,delivered,3,296.34
delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,12,6,yes,failed,1,1299.58
delhivery,electronics,truck,express,west,hot,46.2,14.83,2,2,no,delivered,5,325.49
delhivery,documents,ev bike,two day,south,hot,3.6,49.52,1,16,no,delivered,5,163.39
xpressbees,groceries,scooter,express,north,hot,297.1,22.0,5,8,no,delivered,5,1615.5
xpressbees,electronics,bike,express,central,hot,87.8,7.72,3,3,no,delivered,5,512.16
xpressbees,groceries,truck,express,central,hot,267.4,11.53,9,7,yes,delayed,2,1421.59
fedex,furniture,ev van,two day,east,stormy,124.8,10.84,10,16,no,delivered,4,656.52
xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,6,7,no,delivered,4,1519.4
blue dart,furniture,scooter,two day,central,hot,129.5,39.84,4,16,no,delivered,4,767.02
ecom express,fragile items,van,same day,south,foggy,225.0,7.32,11,8,yes,delayed,3,1246.96
fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,14,24,no,delivered,5,1521.58
ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,7,24,no,delivered,4,550.21
blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,0,8,no,delivered,3,240.22
fedex,automobile parts,van,standard,west,hot,135.1,37.59,4,24,no,delivered,5,788.27
xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,9,24,no,delivered,4,1159.92
fedex,documents,truck,express,north,rainy,169.6,41.44,9,5,yes,delayed,3,1022.32
fedex,fragile items,van,express,central,foggy,250.7,29.97,10,7,yes,failed,2,1393.41
blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,7,16,no,delivered,4,404.76
dhl,groceries,scooter,two day,east,stormy,21.3,41.19,7,16,no,delivered,3,230.07
ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,2,16,no,delivered,4,434.23
ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,5,24,no,delivered,3,349.97
xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,2,16,no,delivered,5,624.11
shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,5,16,no,delivered,4,619.11
shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,5,8,no,delivered,3,552.68
dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,3,16,no,delivered,4,314.08
ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,3,16,no,delivered,4,914.09
delhivery,groceries,van,same day,east,cold,213.7,49.52,5,8,no,delivered,5,1317.81
dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,8,7,yes,delayed,2,1451.52
blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,7,3,yes,delayed,2,539.56
dhl,fragile items,truck,express,central,foggy,198.5,20.1,4,5,no,delivered,5,1102.8
ecom express,groceries,ev bike,express,west,hot,158.7,35.06,6,5,yes,failed,2,948.68
dhl,documents,truck,same day,north,clear,265.3,31.8,5,8,no,delivered,5,1521.9
ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,9,6,yes,delayed,2,1162.49
fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,3,3,yes,failed,1,468.0
xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,4,24,no,delivered,3,538.48
fedex,clothing,bike,same day,east,stormy,187.7,6.69,13,8,yes,delayed,3,1058.57
ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,9,24,no,delivered,5,1196.49
xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,5,2,yes,delayed,2,174.12
ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,6,24,no,delivered,4,1060.03
ekart,electronics,van,express,central,foggy,52.0,43.18,6,3,yes,delayed,3,439.54
amazon logistics,clothing,van,same day,north,clear,282.9,31.33,8,8,yes,delayed,2,1608.49
ekart,automobile parts,van,same day,north,cold,289.2,16.14,9,8,yes,failed,1,1594.42
xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,5,24,no,delivered,3,1427.26
amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,12,8,yes,delayed,2,1519.87
fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,9,7,yes,delayed,2,1624.36
xpressbees,groceries,van,express,east,hot,86.5,37.04,3,3,no,delivered,4,593.62
ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,9,8,yes,delayed,2,900.03
delhivery,clothing,ev van,standard,central,rainy,41.0,29.25,6,24,no,delivered,5,292.75
delhivery,documents,van,standard,central,foggy,137.4,27.87,7,24,no,delivered,3,770.61
fedex,clothing,ev bike,standard,north,clear,32.3,46.58,1,24,no,delivered,4,301.24
ecom express,fragile items,van,express,central,clear,207.8,40.12,6,6,yes,delayed,2,1209.36
blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,3,24,no,delivered,4,155.2
fedex,cosmetics,ev bike,standard,south,clear,258.0,37.92,8,24,no,delivered,4,1403.76
xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,7,8,no,delivered,5,1434.79
blue dart,clothing,scooter,standard,north,cold,289.7,19.13,5,24,no,delivered,5,1505.89
xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,5,2,yes,delayed,3,232.45
ekart,clothing,truck,standard,west,foggy,245.8,4.19,5,24,no,delivered,5,1241.57
amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,3,16,no,delivered,3,469.01
shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,7,24,no,delivered,4,360.52
fedex,fragile items,bike,express,east,hot,225.4,22.3,5,6,no,delivered,5,1243.9
blue dart,clothing,scooter,express,south,clear,36.9,45.45,2,2,yes,delayed,3,370.85
fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,16,8,yes,delayed,2,1509.69
amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,5,24,no,delivered,5,1399.6
delhivery,electronics,ev van,two day,east,hot,167.2,35.91,7,16,no,delivered,3,943.73
xpressbees,pharmacy,van,express,south,hot,127.4,3.49,3,4,no,delivered,3,697.47
fedex,fragile items,ev van,standard,central,foggy,267.0,26.49,11,24,no,delivered,3,1414.47
xpressbees,furniture,truck,same day,south,cold,214.0,34.34,7,8,no,delivered,4,1273.02
shadowfax,groceries,bike,same day,east,stormy,10.6,42.68,5,8,no,delivered,5,281.04
dhl,documents,scooter,same day,central,rainy,124.2,1.02,7,8,no,delivered,5,724.06
ekart,furniture,ev van,two day,north,stormy,129.5,13.38,7,16,no,delivered,4,687.64
shadowfax,automobile parts,scooter,express,south,foggy,257.0,10.83,7,7,yes,delayed,2,1367.49
blue dart,pharmacy,scooter,two day,south,hot,264.9,43.16,9,16,no,delivered,5,1453.98
shadowfax,cosmetics,bike,two day,west,stormy,163.5,19.83,8,16,no,delivered,5,876.99
delhivery,fragile items,truck,same day,north,hot,34.6,47.42,3,8,no,delivered,4,415.26
shadowfax,fragile items,ev bike,two day,north,rainy,183.1,38.15,13,16,no,delivered,4,1029.95
shadowfax,groceries,ev van,standard,south,clear,138.7,43.15,3,24,no,delivered,5,822.95
delhivery,cosmetics,ev van,same day,south,foggy,127.5,41.92,6,8,no,delivered,5,863.26
xpressbees,documents,ev van,standard,west,clear,295.3,8.06,10,24,no,delivered,4,1500.68
dhl,pharmacy,ev van,express,central,foggy,297.1,2.64,12,7,yes,delayed,3,1551.92
amazon logistics,documents,truck,same day,east,foggy,123.5,29.37,8,8,yes,delayed,2,805.61
delhivery,automobile parts,ev bike,standard,south,stormy,280.4,3.78,11,24,no,delivered,4,1413.34
blue dart,cosmetics,truck,express,west,hot,74.1,28.64,3,3,yes,failed,1,506.42
fedex,pharmacy,bike,express,west,cold,58.9,11.97,2,3,no,delivered,3,380.41
blue dart,furniture,bike,standard,north,clear,197.4,47.42,8,24,no,delivered,5,1129.26
ekart,furniture,bike,same day,central,foggy,150.6,22.4,7,8,no,delivered,4,920.2
shadowfax,fragile items,van,two day,east,hot,224.0,31.45,4,16,no,delivered,3,1214.35
blue dart,documents,van,two day,west,rainy,33.9,29.91,4,16,no,delivered,5,259.23
xpressbees,fragile items,truck,two day,north,cold,145.2,46.17,5,16,no,delivered,3,864.51
delhivery,documents,truck,two day,central,stormy,204.9,41.15,9,16,no,delivered,4,1147.95
blue dart,clothing,van,standard,central,foggy,150.8,39.64,6,24,no,delivered,3,872.92
shadowfax,cosmetics,ev bike,standard,central,clear,86.6,16.17,3,24,no,delivered,5,481.51
amazon logistics,cosmetics,ev van,standard,east,stormy,150.7,17.56,8,24,no,delivered,4,806.18
blue dart,groceries,scooter,two day,north,clear,176.0,18.92,5,16,no,delivered,4,936.76
ekart,pharmacy,scooter,standard,east,rainy,165.6,18.69,7,24,no,delivered,3,884.07
ecom express,cosmetics,ev van,two day,west,foggy,170.2,44.12,5,16,no,delivered,5,983.36
ecom express,fragile items,ev van,express,east,clear,133.4,24.33,4,4,yes,failed,2,789.99
shadowfax,automobile parts,scooter,same day,east,clear,100.0,33.34,4,8,no,delivered,3,700.02
fedex,fragile items,truck,two day,south,cold,22.1,11.47,1,16,no,delivered,5,144.91
dhl,groceries,truck,two day,west,foggy,14.9,49.35,4,16,no,delivered,3,222.55
shadowfax,documents,truck,standard,east,clear,160.6,48.08,6,24,no,delivered,4,947.24
shadowfax,electronics,ev van,express,west,rainy,257.8,30.28,7,7,yes,failed,1,1429.84
ekart,pharmacy,bike,standard,north,stormy,235.9,46.05,11,24,no,delivered,3,1317.65
delhivery,pharmacy,truck,express,south,cold,161.3,41.74,5,5,no,delivered,3,981.72
blue dart,cosmetics,scooter,express,central,foggy,192.2,4.85,7,5,yes,delayed,2,1025.55
ecom express,electronics,ev bike,two day,west,rainy,293.0,48.5,9,16,no,delivered,5,1610.5
dhl,cosmetics,truck,same day,west,foggy,290.2,15.21,11,8,yes,delayed,3,1596.63
fedex,fragile items,ev bike,standard,east,hot,297.1,10.39,5,24,no,delivered,4,1523.17
fedex,cosmetics,ev van,express,east,clear,5.9,49.52,1,2,no,delivered,4,228.09
amazon logistics,furniture,ev bike,same day,west,stormy,191.2,5.3,8,8,yes,delayed,3,1071.9
delhivery,electronics,ev van,same day,west,foggy,223.8,32.15,8,8,yes,delayed,2,1315.45
delhivery,furniture,ev bike,two day,east,cold,31.8,46.64,2,16,no,delivered,5,298.92
ekart,pharmacy,truck,standard,central,foggy,109.6,49.52,5,24,no,delivered,5,696.68
fedex,pharmacy,van,two day,south,stormy,50.4,43.7,9,16,no,delivered,5,383.1
xpressbees,pharmacy,van,two day,south,hot,116.0,45.04,3,16,no,delivered,4,715.12
fedex,furniture,van,standard,west,hot,132.9,24.05,3,24,no,delivered,5,736.65
dhl,furniture,truck,same day,west,clear,54.3,47.84,2,8,no,delivered,5,515.02
ecom express,documents,ev bike,same day,east,foggy,149.3,9.87,6,8,no,delivered,3,876.11
blue dart,pharmacy,van,two day,central,clear,57.1,12.91,4,16,no,delivered,5,324.23
shadowfax,documents,truck,standard,central,clear,276.8,10.69,12,24,no,delivered,4,1416.07
fedex,furniture,van,standard,south,foggy,51.7,34.82,5,24,no,delivered,5,362.96
fedex,groceries,truck,two day,west,foggy,154.3,1.91,4,16,no,delivered,5,777.23
amazon logistics,cosmetics,ev bike,standard,central,hot,103.9,11.4,4,24,no,delivered,5,553.7
ekart,automobile parts,van,express,central,hot,127.4,22.72,6,4,yes,delayed,2,755.16
ecom express,pharmacy,van,express,east,cold,117.4,18.36,3,4,no,delivered,4,692.08
ekart,clothing,scooter,same day,west,rainy,293.6,0.67,10,8,yes,failed,1,1569.17
fedex,cosmetics,van,express,west,stormy,199.4,11.71,8,5,yes,delayed,2,1082.13
fedex,documents,van,two day,central,clear,15.6,2.87,1,16,no,delivered,5,95.6674
amazon logistics,electronics,bike,standard,south,foggy,250.7,11.8,7,24,no,delivered,4,1288.9
dhl,clothing,ev van,same day,north,clear,164.1,25.8,2,8,no,delivered,5,997.9
ekart,automobile parts,ev van,same day,west,cold,35.8,18.21,3,8,no,delivered,4,333.63
